Id,SalePrice
1461,117655.45240830646
1462,150817.80730663746
1463,186145.70841126514
1464,195545.7234497813
1465,188740.1043766395
1466,177079.074575298
1467,175058.78013883287
1468,168503.41989464528
1469,186491.52197750355
1470,124250.60211303353
1471,197316.72571853444
1472,93572.97033847259
1473,97289.80990720268
1474,151938.66267863658
1475,126810.96428205035
1476,358219.48548391723
1477,261703.48725282194
1478,294087.46862275107
1479,270261.69269172364
1480,473387.5118655624
1481,334708.8805960201
1482,209897.73408221581
1483,168414.6638773007
1484,169963.41782870085
1485,184059.8745584587
1486,196868.87450544082
1487,334755.2514370591
1488,239710.08045786593
1489,203463.1087909269
1490,220151.45254635558
1491,191021.47772067843
1492,86881.82511214471
1493,193410.4819233083
1494,295950.4192769524
1495,294200.86779263924
1496,236632.003903261
1497,172848.46018529052
1498,158348.08626288682
1499,160234.81584757555
1500,159886.75046871728
1501,179797.50394867154
1502,153101.90063973848
1503,289775.906271943
1504,238256.4460311377
1505,227124.6359740982
1506,181163.41108236724
1507,251162.24609799447
1508,193013.73216214665
1509,159415.3269613747
1510,144802.51977551213
1511,141474.71723659217
1512,168347.48635086423
1513,136291.95128240949
1514,156580.28698964772
1515,194057.81447864027
1516,160829.68138005733
1517,161933.69860541704
1518,130819.91160900636
1519,227171.78875629907
1520,131486.6901416318
1521,131401.10291243665
1522,171326.66227315756
1523,112926.78391703573
1524,123695.71736433469
1525,127859.91897591695
1526,115401.3391031872
1527,102600.83725304452
1528,139163.56483087962
1529,147577.31744644555
1530,175714.4241434304
1531,96926.66328675134
1532,98315.15550436843
1533,138211.63603807215
1534,119359.94387537871
1535,153051.6608862062
1536,108662.30281527666
1537,56628.302338344234
1538,165827.05412514502
1539,192662.8403180584
1540,92831.09748063164
1541,134619.6190548269
1542,134125.00306061836
1543,209701.97589377454
1544,77892.11375920032
1545,109187.63779978098
1546,132168.11043557493
1547,131733.4135483753
1548,130543.25146211719
1549,118604.47375784183
1550,140850.166815117
1551,107606.81989996006
1552,125648.33076815122
1553,146617.29927903466
1554,123257.39567709387
1555,162543.2080620492
1556,79912.06893659369
1557,100682.04819881906
1558,93252.0352980817
1559,76826.04494872707
1560,129931.92032156314
1561,126436.75752155362
1562,127431.06922669525
1563,120131.13231436496
1564,153773.29226427127
1565,148769.37608968565
1566,236996.13383340274
1567,70230.60750891373
1568,229678.6718795251
1569,132924.32142425896
1570,136283.78691687578
1571,121688.62737936688
1572,142679.04364367868
1573,236566.5689634814
1574,103316.6352751374
1575,223821.4405660891
1576,233732.58264288376
1577,193840.21877845627
1578,147397.94424914828
1579,141899.84722826447
1580,194564.24324453637
1581,150107.82863226449
1582,127484.00758952032
1583,333493.4710926134
1584,229864.5932342441
1585,140820.7836466849
1586,69095.63636325503
1587,96108.21796352684
1588,149025.73238043723
1589,90477.85039659601
1590,133318.8756996024
1591,96553.89641401252
1592,125486.94215343588
1593,134401.0941720569
1594,129773.3383591697
1595,103063.39904966099
1596,230258.28295859267
1597,182296.74122489427
1598,215232.51684418676
1599,173034.20413806275
1600,171067.34934793483
1601,63495.84348175992
